pdbid,t_prep_s
1p1n,0.1471
3rr4,0.0377
1o3f,0.0967
3ozt,0.0596
3rsx,0.055
1ydr,0.0664
1a30,0.0479
3b1m,0.0361
3myg,0.0361
3pyy,0.0357
3nq9,0.0809
3rlr,0.0963
3prs,0.149
3zsx,0.057
3ui7,0.0358
3zdg,0.0562
4ih7,0.1611
4w9h,0.037
1syi,0.1504
3cj4,0.0577
3uuo,0.1205
1c5z,0.0533
2cet,0.1476
4gfm,0.0561
2wca,0.2245
3uew,0.0594
2qe4,0.0355
4f2w,0.0353
4w9i,0.0354
3ag9,0.0362
2fxs,0.0561
5c2h,0.0642
4jia,0.1308
2p4y,0.0364
2qnq,0.1049
3uex,0.036
3e93,0.0355
1k1i,0.0577
4jxs,0.0547
3ryj,0.0986
5dwr,0.0364
3gnw,0.0354
3mss,0.0353
2wvt,0.0352
3qgy,0.0353
2zb1,0.0354
4f3c,0.0585
2brb,0.0354
1qkt,0.1626
3dxg,0.0542
4w9c,0.1291
2al5,0.143
3uo4,0.1152
4k77,0.057
2fvd,0.0597
3o9i,0.1093
3ary,0.0539
3n7a,0.054
3e5a,0.1293
3g2n,0.2246
4mgd,0.1424
4m0y,0.0562
1qf1,0.0446
4agn,0.0354
2yge,0.0357
4kzu,0.055
4wiv,0.0843
2wnc,0.0597
4kz6,0.0542
2zda,0.1526
3gr2,0.0524
4crc,0.0604
4e5w,0.0356
1bcu,0.1028
4hge,0.058
1gpk,0.1609
1vso,0.0573
3n76,0.0354
2weg,0.035
3f3c,0.0552
4cig,0.0563
2c3i,0.0353
2cbv,0.035
4u4s,0.1451
4eky,0.0364
4ih5,0.0552
3d4z,0.0543
3nw9,0.0355
4agp,0.0354
5c28,0.0349
3ejr,0.0353
3d6q,0.0354
2xj7,0.3149
2br1,0.0394
4djv,0.1397
3f3d,0.0548
4eor,0.182
2v7a,0.0371
3ge7,0.2129
2zcq,0.0599
3ueu,0.0569
4agq,0.0554
2wn9,0.2966
4cr9,0.0383
4qd6,0.1132
3aru,0.1643
3f3e,0.0433
2xb8,0.3917
4ea2,0.0668
1z9g,0.1092
1ps3,0.0358
2w4x,0.0553
4gr0,0.0962
2zcr,0.0359
3uev,0.1213
3p5o,0.0844
2x00,0.0654
2p15,0.1769
4kzq,0.0916
3acw,0.0575
1gpn,0.0354
3utu,0.064
4bkt,0.1173
3u8k,0.0358
3arv,0.0545
3n86,0.0592
2v00,0.1078
2iwx,0.0359
4ty7,0.0613
3bv9,0.065
5tmn,0.2348
3fur,0.111
3syr,0.0583
3jya,0.0988
4owm,0.1535
2qbp,0.1302
3g31,0.0514
4ogj,0.0895
3bgz,0.0568
3e92,0.1318
3kr8,0.0571
2ymd,0.4706
3b5r,0.0661
3u9q,0.0555
4abg,0.053
3fcq,0.0352
4x6p,0.1107
2qbq,0.1258
2r9w,0.0359
1z95,0.1068
3b68,0.0358
3fv1,0.1237
3arp,0.039
3dx2,0.0372
4cra,0.0611
4dli,0.0552
4j3l,0.0987
4f9w,0.0356
3qqs,0.0351
1u1b,0.0355
1eby,0.0356
4qac,0.0353
4ciw,0.0352
2qbr,0.1181
4mme,0.1531
2wtv,0.1151
3fv2,0.0365
1bzc,0.0568
3arq,0.0357
3u8n,0.0567
3f3a,0.0422
3g0w,0.1069
4tmn,0.2127
3dd0,0.1006
2j7h,0.0364
4twp,0.0585
3ehy,0.0548
3oe4,0.0592
3pww,0.0678
3zt2,0.1091
3up2,0.1114
4jfs,0.0359
2xys,0.0353
4ddk,0.0353
1s38,0.1138
1o0h,0.0766
2y5h,0.1227
2vw5,0.1167
3oe5,0.0362
3g2z,0.0527
1y6r,0.0351
2yki,0.1017
1q8t,0.0581
4de1,0.0354
4dld,0.0351
3uri,0.1685
2xdl,0.0364
2xii,0.1865
2wer,0.1427
2yfe,0.1149
1g2k,0.1118
1e66,0.0595
3coy,0.0619
3udh,0.0354
1q8u,0.1351
2xbv,0.0622
4de2,0.0359
1pxn,0.0354
3twp,0.0351
4rfm,0.1166
1ydt,0.1381
3zso,0.0588
1nc1,0.1392
1oyt,0.0612
1r5y,0.1119
3b65,0.0364
3nx7,0.0555
3coz,0.1753
4llx,0.0526
4de3,0.0557
1uto,0.0525
1p1q,0.0351
1yc1,0.0353
2hb1,0.1017
4j28,0.036
1sqa,0.0352
3wz8,0.0352
3gy4,0.0525
3gbb,0.0352
4lzs,0.035
3kgp,0.0918
2j78,0.0357
3gv9,0.0567
3kwa,0.0577
1nc3,0.0352
4pcs,0.0351
4j21,0.0558
2wbg,0.2634
1nvq,0.1249
2vkm,0.2011
1lpg,0.1208
5aba,0.096
1mq6,0.1199
3pxf,0.0361
4f09,0.0562
4gkm,0.1684
1z6e,0.0368
3ao4,0.0541
2zy1,0.1161
4eo8,0.0362
4w9l,0.1472
4gid,0.0366
1w4o,0.0533
3ivg,0.0587
3b27,0.0545
3r88,0.0355
3dx1,0.234
4ivb,0.0604
2xnb,0.0587
3tsk,0.0941
2pog,0.0584
4e6q,0.0355
4ddh,0.0352
1o5b,0.0351
4m0z,0.1082
3lka,0.0538
3l7b,0.0356
4ivc,0.0584
3u5j,0.0354
1h22,0.0357
3jvr,0.0529
4k18,0.0355
3gc5,0.0355
2vvn,0.0352
2w66,0.0566
4ivd,0.059
3ozs,0.0592
4jsz,0.0923
1h23,0.0688
3jvs,0.1124
1owh,0.0571
5a7b,0.1016
3wtj,0.0359
3k5v,0.0354
3ebp,0.0354
